Time - Seconds;Temp1;Temp2;Temp3
00.00.00;26.07.00;28.02.00;28.03.00
00.00.01;26.07.00;28.02.00;28.03.00
00.00.02;26.07.00;28.01.00;28.02.00
00.00.03;26.07.00;28.00.00;28.01.00
00.00.04;26.06.00;28.00.00;28.00.00
00.00.05;26.06.00;27.09.00;27.09.00
00.00.06;26.06.00;27.09.00;27.09.00
00.00.07;26.06.00;27.08.00;27.09.00
00.00.08;26.06.00;27.07.00;27.08.00
00.00.09;26.06.00;27.07.00;27.07.00
00.00.10;26.06.00;27.06.00;27.06.00
00.00.11;26.06.00;27.06.00;27.05.00
00.00.12;26.06.00;27.05.00;27.05.00
00.00.13;26.06.00;27.05.00;27.04.00
00.00.14;26.05.00;27.05.00;27.04.00
00.00.15;26.05.00;27.04.00;27.03.00
00.00.16;26.05.00;27.04.00;27.02.00
00.00.17;26.05.00;27.03.00;27.02.00
00.00.18;26.05.00;27.03.00;27.01.00
00.00.19;26.05.00;27.03.00;27.01.00
00.00.20;26.05.00;27.02.00;27.01.00
00.00.21;26.05.00;27.02.00;27.01.00
00.00.22;26.05.00;27.02.00;27.00.00
00.00.23;26.05.00;27.02.00;27.00.00
00.00.24;26.05.00;27.01.00;26.09.00
00.00.25;26.05.00;27.01.00;26.09.00
00.00.26;26.06.00;27.00.00;26.08.00
00.00.27;26.06.00;27.00.00;26.08.00
00.00.28;26.05.00;26.09.00;26.07.00
00.00.29;26.06.00;26.09.00;26.06.00
00.00.30;26.05.00;26.08.00;26.05.00
00.00.31;26.05.00;26.08.00;26.04.00
00.00.32;26.05.00;26.07.00;26.03.00
00.00.33;26.05.00;26.06.00;26.03.00
00.00.34;26.04.00;26.06.00;26.02.00
00.00.35;26.04.00;26.05.00;26.02.00
00.00.36;26.04.00;26.05.00;26.01.00
00.00.37;26.04.00;26.04.00;26.01.00
00.00.38;26.04.00;26.04.00;26.01.00
00.00.39;26.04.00;26.04.00;26.01.00
00.00.40;26.04.00;26.04.00;26.00.00
00.00.41;26.04.00;26.04.00;26.00.00
00.00.42;26.04.00;26.03.00;26.00.00
00.00.43;26.04.00;26.03.00;26.00.00
00.00.44;26.04.00;26.03.00;26.00.00
00.00.45;26.04.00;26.03.00;26.00.00
00.00.46;26.03.00;26.02.00;26.00.00
00.00.47;26.03.00;26.02.00;26.00.00
00.00.48;26.03.00;26.02.00;25.09.00
00.00.49;26.03.00;26.02.00;25.09.00
00.00.50;26.03.00;26.02.00;25.09.00
00.00.51;26.03.00;26.02.00;25.09.00
00.00.52;26.03.00;26.02.00;25.09.00
00.00.53;26.03.00;26.02.00;25.09.00
00.00.54;26.03.00;26.01.00;25.09.00
00.00.55;26.03.00;26.01.00;25.09.00
00.00.56;26.03.00;26.01.00;25.09.00
00.00.57;26.03.00;26.01.00;25.09.00
00.00.58;26.03.00;26.01.00;25.09.00
00.00.59;26.03.00;26.01.00;25.09.00
00.01.00;26.03.00;26.01.00;25.09.00
00.01.01;26.03.00;26.01.00;25.09.00
00.01.02;26.03.00;26.01.00;25.09.00
00.01.03;26.03.00;26.01.00;25.09.00
00.01.04;26.03.00;26.01.00;25.09.00
00.01.05;26.03.00;26.01.00;25.08.00
00.01.06;26.03.00;26.01.00;25.08.00
00.01.07;26.03.00;26.01.00;25.08.00
00.01.08;26.03.00;26.01.00;25.08.00
00.01.09;26.03.00;26.01.00;25.08.00
00.01.10;26.03.00;26.01.00;25.08.00
00.01.11;26.03.00;26.01.00;25.08.00
00.01.12;26.03.00;26.01.00;25.08.00
00.01.13;26.03.00;26.01.00;25.08.00
00.01.14;26.03.00;26.01.00;25.08.00
00.01.15;26.03.00;26.01.00;25.08.00
00.01.16;26.03.00;26.01.00;25.08.00
00.01.17;26.03.00;26.01.00;25.08.00
00.01.18;26.03.00;26.01.00;25.08.00
00.01.19;26.03.00;26.01.00;25.08.00
00.01.20;26.03.00;26.01.00;25.08.00
00.01.21;26.03.00;26.01.00;25.08.00
00.01.22;26.03.00;26.01.00;25.08.00
00.01.23;26.03.00;26.01.00;25.08.00
00.01.24;26.02.00;26.01.00;25.08.00
00.01.25;26.02.00;26.01.00;25.08.00
00.01.26;26.02.00;26.01.00;25.08.00
00.01.27;26.02.00;26.01.00;25.08.00
00.01.28;26.02.00;26.01.00;25.08.00
00.01.29;26.02.00;26.01.00;25.08.00
00.01.30;26.02.00;26.01.00;25.07.00
00.01.31;26.02.00;26.01.00;25.08.00
00.01.32;26.02.00;26.01.00;25.08.00
00.01.33;26.02.00;26.01.00;25.07.00
00.01.34;26.02.00;26.01.00;25.07.00
00.01.35;26.02.00;26.00.00;25.07.00
00.01.36;26.02.00;26.01.00;25.07.00
00.01.37;26.02.00;26.01.00;25.07.00
00.01.38;26.02.00;26.00.00;25.07.00
00.01.39;26.01.00;26.00.00;25.07.00
00.01.40;26.01.00;26.00.00;25.07.00
00.01.41;26.01.00;26.00.00;25.07.00
00.01.42;26.01.00;26.00.00;25.07.00
00.01.43;26.01.00;26.00.00;25.07.00
00.01.44;26.01.00;26.00.00;25.07.00
00.01.45;26.01.00;26.00.00;25.07.00
00.01.46;26.01.00;26.00.00;25.07.00
00.01.47;26.01.00;26.00.00;25.07.00
00.01.48;26.01.00;26.00.00;25.07.00
00.01.49;26.01.00;26.00.00;25.08.00
00.01.50;26.01.00;26.00.00;25.07.00
00.01.51;26.01.00;26.00.00;25.08.00
00.01.52;26.01.00;26.00.00;25.07.00
00.01.53;26.01.00;26.00.00;25.07.00
00.01.54;26.01.00;26.00.00;25.08.00
00.01.55;26.01.00;26.01.00;25.07.00
00.01.56;26.01.00;26.01.00;25.07.00
00.01.57;26.01.00;26.01.00;25.07.00
00.01.58;26.01.00;26.00.00;25.07.00
00.01.59;26.01.00;26.00.00;25.07.00
00.02.00;26.01.00;26.00.00;25.07.00
00.02.01;26.01.00;26.00.00;25.07.00
00.02.02;26.01.00;26.00.00;25.07.00
00.02.03;26.01.00;26.00.00;25.07.00
00.02.04;26.00.00;26.00.00;25.07.00
00.02.05;26.00.00;26.00.00;25.07.00
00.02.06;26.00.00;26.00.00;25.07.00
00.02.07;26.01.00;26.00.00;25.07.00
00.02.08;26.01.00;26.00.00;25.07.00
00.02.09;26.00.00;26.00.00;25.07.00
00.02.10;26.00.00;26.00.00;25.07.00
00.02.11;26.00.00;26.00.00;25.07.00
00.02.12;26.00.00;26.00.00;25.07.00
00.02.13;26.00.00;26.00.00;25.07.00
00.02.14;26.00.00;26.00.00;25.07.00
00.02.15;26.00.00;26.00.00;25.07.00
00.02.16;26.00.00;26.00.00;25.07.00
00.02.17;26.00.00;26.00.00;25.07.00
00.02.18;26.00.00;26.00.00;25.07.00
00.02.19;26.00.00;26.00.00;25.07.00
00.02.20;26.00.00;26.00.00;25.07.00
00.02.21;26.00.00;26.00.00;25.07.00
00.02.22;26.00.00;26.00.00;25.07.00
00.02.23;26.00.00;26.00.00;25.07.00
00.02.24;26.00.00;26.00.00;25.07.00
00.02.25;26.00.00;26.00.00;25.07.00
00.02.26;26.00.00;26.00.00;25.07.00
00.02.27;26.00.00;26.00.00;25.07.00
00.02.28;26.00.00;26.00.00;25.07.00
00.02.29;26.00.00;26.00.00;25.07.00
00.02.30;26.00.00;26.00.00;25.07.00
00.02.31;26.00.00;26.00.00;25.07.00
00.02.32;26.00.00;26.00.00;25.07.00
