"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","24.9","24.7","24.6","29.9"
"00:00:01","24.9","24.7","24.6","29.9"
"00:00:02","24.9","24.7","24.6","29.9"
"00:00:03","24.9","24.7","24.5","29.9"
"00:00:04","24.9","24.7","24.5","29.9"
"00:00:05","24.9","24.7","24.5","29.8"
"00:00:06","24.9","24.7","24.5","29.8"
"00:00:07","24.9","24.7","24.5","29.8"
"00:00:08","24.9","24.7","24.5","29.8"
"00:00:09","24.9","24.7","24.5","29.8"
"00:00:10","24.9","24.7","24.5","29.8"
"00:00:11","24.9","24.7","24.5","29.8"
"00:00:12","24.9","24.7","24.5","29.8"
"00:00:13","24.9","24.7","24.5","29.8"
"00:00:14","24.9","24.7","24.5","29.8"
"00:00:15","24.9","24.7","24.5","29.8"
"00:00:16","24.9","24.7","24.5","29.8"
"00:00:17","24.9","24.7","24.5","29.8"
"00:00:18","24.9","24.7","24.5","29.8"
"00:00:19","24.9","24.7","24.5","29.8"
"00:00:20","24.9","24.7","24.5","29.7"
"00:00:21","24.9","24.7","24.5","29.7"
"00:00:22","24.9","24.7","24.5","29.7"
"00:00:23","24.9","24.7","24.5","29.7"
"00:00:24","24.9","24.7","24.5","29.7"
"00:00:25","24.9","24.7","24.5","29.7"
"00:00:26","24.8","24.6","24.5","29.7"
"00:00:27","24.9","24.6","24.5","29.7"
"00:00:28","24.8","24.6","24.5","29.7"
"00:00:29","24.9","24.6","24.5","29.7"
"00:00:30","24.9","24.6","24.5","29.7"
"00:00:31","24.8","24.6","24.5","29.7"
"00:00:32","24.8","24.6","24.5","29.6"
"00:00:33","24.8","24.6","24.5","29.6"
"00:00:34","24.9","24.7","24.5","29.6"
"00:00:35","24.9","24.7","24.5","29.6"
"00:00:36","24.9","24.7","24.5","29.6"
"00:00:37","24.9","24.7","24.6","29.6"
"00:00:38","24.9","24.7","24.6","29.6"
"00:00:39","24.9","24.8","24.6","29.6"
"00:00:40","25.0","24.8","24.7","29.6"
"00:00:41","25.0","24.8","24.7","29.6"
"00:00:42","25.0","24.8","24.7","29.6"
"00:00:43","25.0","24.9","24.7","29.6"
"00:00:44","25.0","24.9","24.8","29.6"
"00:00:45","25.0","24.9","24.8","29.6"
"00:00:46","25.0","24.9","24.8","29.5"
"00:00:47","25.0","24.9","24.8","29.5"
"00:00:48","25.0","24.9","24.7","29.5"
"00:00:49","25.0","24.9","24.7","29.5"
"00:00:50","25.0","24.9","24.7","29.5"
"00:00:51","25.0","24.9","24.8","29.5"
"00:00:52","25.0","24.9","24.8","29.5"
"00:00:53","25.0","24.9","24.8","29.5"
"00:00:54","25.0","25.0","24.8","29.5"
"00:00:55","25.0","25.0","24.8","29.5"
"00:00:56","25.0","25.0","24.8","29.5"
"00:00:57","25.0","25.0","24.8","29.5"
"00:00:58","25.0","25.0","24.8","29.4"
"00:00:59","25.0","25.0","24.9","29.4"
"00:01:00","25.0","25.0","24.9","29.4"
"00:01:01","25.0","25.0","24.9","29.4"
"00:01:02","25.0","25.0","24.9","29.4"
"00:01:03","25.0","25.0","24.9","29.4"
"00:01:04","25.0","25.0","24.9","29.4"
"00:01:05","25.0","25.0","24.9","29.4"
"00:01:06","25.0","25.0","24.9","29.4"
"00:01:07","25.0","25.1","24.9","29.4"
"00:01:08","25.0","25.1","24.9","29.4"
"00:01:09","25.0","25.1","24.9","29.4"
"00:01:10","25.0","25.1","24.9","29.4"
"00:01:11","25.0","25.1","24.9","29.4"
"00:01:12","25.0","25.1","24.9","29.3"
"00:01:13","25.0","25.1","25.0","29.3"
"00:01:14","25.0","25.1","25.0","29.3"
"00:01:15","25.0","25.1","25.0","29.3"
"00:01:16","25.0","25.1","25.0","29.3"
"00:01:17","25.0","25.1","25.0","29.3"
"00:01:18","25.0","25.1","25.0","29.3"
"00:01:19","25.1","25.1","25.0","29.3"
"00:01:20","25.0","25.1","25.0","29.3"
"00:01:21","25.1","25.1","25.0","29.3"
"00:01:22","25.1","25.1","25.0","29.3"
"00:01:23","25.1","25.1","25.0","29.3"
"00:01:24","25.1","25.1","25.0","29.3"
"00:01:25","25.0","25.1","25.0","29.2"
"00:01:26","25.0","25.1","25.0","29.2"
"00:01:27","25.0","25.2","25.0","29.2"
"00:01:28","25.1","25.2","25.0","29.2"
"00:01:29","25.1","25.2","25.0","29.2"
"00:01:30","25.1","25.2","25.0","29.2"
"00:01:31","25.1","25.2","25.0","29.2"
"00:01:32","25.1","25.2","25.0","29.2"
"00:01:33","25.1","25.2","25.0","29.2"
"00:01:34","25.1","25.2","25.0","29.2"
"00:01:35","25.1","25.2","25.0","29.2"
"00:01:36","25.1","25.2","25.0","29.2"
"00:01:37","25.1","25.2","25.0","29.2"
"00:01:38","25.1","25.2","25.0","29.2"
"00:01:39","25.1","25.2","25.0","29.1"
"00:01:40","25.1","25.2","25.0","29.1"
"00:01:41","25.1","25.2","25.0","29.1"
"00:01:42","25.1","25.2","25.0","29.1"
"00:01:43","25.1","25.2","25.0","29.1"
"00:01:44","25.1","25.2","25.0","29.1"
