"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","25.5","25.7","25.9","24.0"
"00:00:01","25.5","25.7","25.9","24.0"
"00:00:02","25.5","25.7","25.8","24.0"
"00:00:03","25.5","25.6","25.8","24.0"
"00:00:04","25.5","25.6","25.8","24.0"
"00:00:05","25.5","25.6","25.8","24.0"
"00:00:06","25.5","25.6","25.8","24.0"
"00:00:07","25.5","25.6","25.7","24.0"
"00:00:08","25.5","25.6","25.7","24.0"
"00:00:09","25.5","25.6","25.7","24.0"
"00:00:10","25.5","25.5","25.6","24.0"
"00:00:11","25.5","25.5","25.6","24.0"
"00:00:12","25.5","25.5","25.6","24.0"
"00:00:13","25.4","25.5","25.5","24.0"
"00:00:14","25.4","25.4","25.5","24.0"
"00:00:15","25.4","25.4","25.5","24.0"
"00:00:16","25.4","25.4","25.4","24.0"
"00:00:17","25.4","25.4","25.4","24.0"
"00:00:18","25.4","25.4","25.4","24.0"
"00:00:19","25.4","25.3","25.3","24.0"
"00:00:20","25.4","25.3","25.3","24.0"
"00:00:21","25.4","25.3","25.3","24.0"
"00:00:22","25.4","25.2","25.2","24.0"
"00:00:23","25.4","25.2","25.2","24.0"
"00:00:24","25.3","25.2","25.2","24.0"
"00:00:25","25.3","25.1","25.1","24.0"
"00:00:26","25.3","25.1","25.1","24.0"
"00:00:27","25.3","25.1","25.1","24.0"
"00:00:28","25.3","25.1","25.1","24.0"
"00:00:29","25.3","25.1","25.0","24.0"
"00:00:30","25.3","25.1","25.0","24.0"
"00:00:31","25.3","25.1","25.0","24.0"
"00:00:32","25.3","25.0","25.0","24.0"
"00:00:33","25.3","25.0","24.9","24.0"
"00:00:34","25.2","25.0","24.9","24.0"
"00:00:35","25.2","25.0","24.9","24.0"
"00:00:36","25.2","25.0","24.9","24.0"
"00:00:37","25.2","25.0","24.9","24.0"
"00:00:38","25.2","25.0","24.8","24.0"
"00:00:39","25.2","25.0","24.8","24.0"
"00:00:40","25.2","25.0","24.8","24.0"
"00:00:41","25.2","24.9","24.8","24.0"
"00:00:42","25.2","24.9","24.8","24.0"
"00:00:43","25.2","24.9","24.8","24.0"
"00:00:44","25.2","24.9","24.8","24.0"
"00:00:45","25.2","24.9","24.8","24.0"
"00:00:46","25.2","24.9","24.7","24.0"
"00:00:47","25.2","24.9","24.7","24.0"
"00:00:48","25.2","24.9","24.7","24.0"
"00:00:49","25.2","24.9","24.7","24.0"
"00:00:50","25.2","24.8","24.7","24.0"
"00:00:51","25.1","24.8","24.7","24.0"
"00:00:52","25.1","24.8","24.7","24.0"
"00:00:53","25.1","24.8","24.6","24.0"
"00:00:54","25.1","24.8","24.6","24.0"
"00:00:55","25.1","24.8","24.6","24.0"
"00:00:56","25.1","24.8","24.6","24.0"
"00:00:57","25.1","24.8","24.6","24.0"
"00:00:58","25.1","24.7","24.6","24.0"
"00:00:59","25.1","24.7","24.6","24.0"
"00:01:00","25.1","24.7","24.6","24.0"
"00:01:01","25.1","24.7","24.6","24.0"
"00:01:02","25.1","24.7","24.6","24.0"
"00:01:03","25.1","24.7","24.6","24.0"
"00:01:04","25.0","24.7","24.6","24.0"
"00:01:05","25.0","24.7","24.6","24.0"
"00:01:06","25.0","24.7","24.6","24.0"
"00:01:07","25.0","24.7","24.6","24.0"
"00:01:08","25.0","24.7","24.6","24.0"
"00:01:09","25.0","24.7","24.6","24.0"
"00:01:10","25.0","24.7","24.6","24.0"
"00:01:11","25.0","24.7","24.6","24.0"
"00:01:12","25.0","24.7","24.6","24.0"
"00:01:13","25.0","24.7","24.6","24.0"
"00:01:14","25.0","24.7","24.6","24.0"
"00:01:15","25.0","24.7","24.6","24.0"
"00:01:16","25.0","24.7","24.6","24.0"
"00:01:17","25.0","24.7","24.6","24.0"
"00:01:18","25.0","24.7","24.6","24.0"
"00:01:19","25.0","24.7","24.6","24.0"
"00:01:20","24.9","24.7","24.6","24.0"
"00:01:21","24.9","24.7","24.6","24.0"
"00:01:22","24.9","24.7","24.6","24.0"
"00:01:23","24.9","24.7","24.6","24.0"
"00:01:24","24.9","24.6","24.6","24.0"
"00:01:25","24.9","24.6","24.6","24.0"
"00:01:26","24.9","24.6","24.6","24.0"
"00:01:27","24.9","24.6","24.6","24.0"
"00:01:28","24.9","24.6","24.6","24.0"
"00:01:29","24.9","24.6","24.6","24.0"
"00:01:30","24.9","24.6","24.6","24.0"
"00:01:31","24.9","24.6","24.6","24.0"
"00:01:32","24.9","24.6","24.6","24.0"
"00:01:33","24.9","24.6","24.6","24.0"
"00:01:34","24.9","24.7","24.6","24.0"
"00:01:35","24.9","24.7","24.6","24.0"
"00:01:36","24.9","24.7","24.6","24.0"
"00:01:37","24.9","24.7","24.6","24.0"
"00:01:38","24.9","24.7","24.6","24.0"
"00:01:39","24.9","24.7","24.6","24.0"
"00:01:40","24.9","24.7","24.6","24.0"
"00:01:41","24.9","24.7","24.6","24.0"
"00:01:42","24.9","24.7","24.6","24.0"
"00:01:43","24.9","24.7","24.6","24.0"
"00:01:44","24.9","24.7","24.6","24.0"
"00:01:45","24.9","24.7","24.6","24.0"
"00:01:46","24.9","24.7","24.6","24.0"
"00:01:47","24.8","24.7","24.6","24.0"
"00:01:48","24.8","24.7","24.6","24.0"
"00:01:49","24.8","24.7","24.6","24.0"
"00:01:50","24.8","24.7","24.6","24.0"
"00:01:51","24.8","24.7","24.6","24.0"
"00:01:52","24.8","24.7","24.6","24.0"
"00:01:53","24.8","24.7","24.6","24.0"
"00:01:54","24.8","24.7","24.6","24.0"
"00:01:55","24.8","24.7","24.6","24.0"
"00:01:56","24.8","24.7","24.6","24.0"
"00:01:57","24.8","24.7","24.6","24.0"
"00:01:58","24.8","24.7","24.6","24.0"
"00:01:59","24.8","24.7","24.6","24.0"
"00:02:00","24.8","24.7","24.6","24.0"
"00:02:01","24.8","24.7","24.6","24.0"
"00:02:02","24.8","24.7","24.6","24.0"
"00:02:03","24.8","24.7","24.6","24.0"
"00:02:04","24.8","24.7","24.6","24.0"
"00:02:05","24.8","24.7","24.6","24.0"
"00:02:06","24.8","24.7","24.6","24.0"
"00:02:07","24.8","24.7","24.6","24.0"
"00:02:08","24.8","24.7","24.6","24.0"
"00:02:09","24.8","24.7","24.6","24.0"
"00:02:10","24.8","24.7","24.6","24.0"
"00:02:11","24.8","24.7","24.6","24.0"
"00:02:12","24.8","24.7","24.6","24.0"
"00:02:13","24.8","24.7","24.6","24.0"
"00:02:14","24.8","24.7","24.6","24.0"
"00:02:15","24.8","24.7","24.6","24.0"
"00:02:16","24.8","24.7","24.6","24.0"
"00:02:17","24.8","24.7","24.6","24.0"
"00:02:18","24.8","24.7","24.6","24.0"
"00:02:19","24.8","24.7","24.6","24.0"
"00:02:20","24.8","24.7","24.6","24.0"
"00:02:21","24.8","24.8","24.6","24.0"
"00:02:22","24.8","24.8","24.6","23.9"
"00:02:23","24.8","24.8","24.6","23.9"
"00:02:24","24.8","24.8","24.6","23.9"
"00:02:25","24.8","24.8","24.6","23.9"
"00:02:26","24.8","24.8","24.6","23.9"
"00:02:27","24.8","24.8","24.7","23.9"
"00:02:28","24.8","24.8","24.6","24.0"
"00:02:29","24.8","24.8","24.7","24.0"
"00:02:30","24.8","24.8","24.7","24.0"
"00:02:31","24.8","24.8","24.7","23.9"
"00:02:32","24.8","24.8","24.7","23.9"
"00:02:33","24.8","24.8","24.7","24.0"
"00:02:34","24.8","24.8","24.7","23.9"
"00:02:35","24.8","24.8","24.7","23.9"
"00:02:36","24.8","24.8","24.7","23.9"
"00:02:37","24.8","24.8","24.7","24.0"
"00:02:38","24.8","24.8","24.7","23.9"
"00:02:39","24.8","24.8","24.7","24.0"
"00:02:40","24.8","24.8","24.7","23.9"
"00:02:41","24.8","24.8","24.7","23.9"
"00:02:42","24.8","24.8","24.6","23.9"
"00:02:43","24.8","24.8","24.7","23.9"
"00:02:44","24.8","24.8","24.7","24.0"
"00:02:45","24.8","24.8","24.7","23.9"
"00:02:46","24.8","24.8","24.6","23.9"
"00:02:47","24.8","24.8","24.6","23.9"
"00:02:48","24.8","24.8","24.6","23.9"
"00:02:49","24.8","24.8","24.7","23.9"
"00:02:50","24.8","24.8","24.7","23.9"
"00:02:51","24.8","24.8","24.7","23.9"
"00:02:52","24.8","24.8","24.7","23.9"
"00:02:53","24.8","24.8","24.7","23.9"
"00:02:54","24.8","24.8","24.7","23.9"
"00:02:55","24.8","24.8","24.7","23.9"
"00:02:56","24.8","24.8","24.7","23.9"
