Time - Seconds;Temp1;Temp2;Temp3
00.00.00;25.08.00;26.04.00;26.01.00
00.00.01;25.08.00;26.04.00;26.01.00
00.00.02;25.08.00;26.04.00;26.01.00
00.00.03;25.08.00;26.03.00;26.01.00
00.00.04;25.08.00;26.03.00;26.01.00
00.00.05;25.08.00;26.03.00;26.00.00
00.00.06;25.08.00;26.03.00;26.00.00
00.00.07;25.08.00;26.02.00;26.00.00
00.00.08;25.08.00;26.02.00;26.00.00
00.00.09;25.08.00;26.02.00;25.09.00
00.00.10;25.07.00;26.02.00;25.09.00
00.00.11;25.07.00;26.01.00;25.09.00
00.00.12;25.07.00;26.01.00;25.09.00
00.00.13;25.07.00;26.01.00;25.09.00
00.00.14;25.07.00;26.01.00;25.09.00
00.00.15;25.07.00;26.01.00;25.09.00
00.00.16;25.08.00;26.01.00;25.09.00
00.00.17;25.08.00;26.01.00;25.09.00
00.00.18;25.08.00;26.01.00;25.09.00
00.00.19;25.08.00;26.00.00;25.08.00
00.00.20;25.07.00;26.00.00;25.08.00
00.00.21;25.07.00;26.00.00;25.07.00
00.00.22;25.07.00;25.09.00;25.07.00
00.00.23;25.07.00;25.09.00;25.07.00
00.00.24;25.07.00;25.09.00;25.07.00
00.00.25;25.07.00;25.09.00;25.07.00
00.00.26;25.07.00;25.09.00;25.07.00
00.00.27;25.07.00;25.09.00;25.08.00
00.00.28;25.08.00;25.09.00;25.08.00
00.00.29;25.08.00;25.09.00;25.07.00
00.00.30;25.08.00;25.09.00;25.07.00
00.00.31;25.08.00;25.08.00;25.06.00
00.00.32;25.08.00;25.08.00;25.05.00
00.00.33;25.08.00;25.08.00;25.05.00
00.00.34;25.08.00;25.08.00;25.05.00
00.00.35;25.08.00;25.08.00;25.05.00
00.00.36;25.08.00;25.07.00;25.05.00
00.00.37;25.08.00;25.07.00;25.05.00
00.00.38;25.08.00;25.07.00;25.05.00
00.00.39;25.08.00;25.07.00;25.04.00
00.00.40;25.08.00;25.07.00;25.04.00
00.00.41;25.08.00;25.07.00;25.04.00
00.00.42;25.08.00;25.07.00;25.04.00
00.00.43;25.08.00;25.07.00;25.03.00
00.00.44;25.08.00;25.07.00;25.04.00
00.00.45;25.08.00;25.06.00;25.04.00
00.00.46;25.08.00;25.06.00;25.04.00
00.00.47;25.08.00;25.06.00;25.03.00
00.00.48;25.08.00;25.06.00;25.03.00
00.00.49;25.07.00;25.06.00;25.02.00
00.00.50;25.07.00;25.06.00;25.02.00
00.00.51;25.07.00;25.06.00;25.02.00
00.00.52;25.08.00;25.05.00;25.02.00
00.00.53;25.08.00;25.05.00;25.02.00
00.00.54;25.08.00;25.05.00;25.01.00
00.00.55;25.08.00;25.05.00;25.01.00
00.00.56;25.07.00;25.05.00;25.01.00
00.00.57;25.07.00;25.05.00;25.01.00
00.00.58;25.07.00;25.04.00;25.00.00
00.00.59;25.08.00;25.04.00;25.00.00
00.01.00;25.07.00;25.04.00;25.00.00
00.01.01;25.07.00;25.04.00;24.09.00
00.01.02;25.07.00;25.04.00;24.09.00
00.01.03;25.07.00;25.04.00;24.09.00
00.01.04;25.07.00;25.03.00;24.09.00
00.01.05;25.07.00;25.03.00;24.09.00
00.01.06;25.07.00;25.03.00;24.09.00
00.01.07;25.07.00;25.03.00;24.08.00
00.01.08;25.07.00;25.03.00;24.08.00
00.01.09;25.07.00;25.03.00;24.08.00
00.01.10;25.07.00;25.03.00;24.08.00
00.01.11;25.07.00;25.03.00;24.08.00
00.01.12;25.07.00;25.03.00;24.08.00
00.01.13;25.07.00;25.03.00;24.08.00
00.01.14;25.07.00;25.03.00;24.08.00
00.01.15;25.07.00;25.02.00;24.08.00
00.01.16;25.07.00;25.02.00;24.08.00
00.01.17;25.07.00;25.02.00;24.08.00
00.01.18;25.07.00;25.02.00;24.08.00
00.01.19;25.07.00;25.02.00;24.08.00
00.01.20;25.07.00;25.02.00;24.08.00
00.01.21;25.07.00;25.02.00;24.08.00
00.01.22;25.07.00;25.02.00;24.07.00
00.01.23;25.07.00;25.01.00;24.07.00
