Time - Seconds;Temp1;Temp2;Temp3
00.00.00;24.09.00;24.07.00;24.06.00
00.00.01;24.09.00;24.07.00;24.06.00
00.00.02;24.09.00;24.07.00;24.06.00
00.00.03;24.09.00;24.07.00;24.05.00
00.00.04;24.09.00;24.07.00;24.05.00
00.00.05;24.09.00;24.07.00;24.05.00
00.00.06;24.09.00;24.07.00;24.05.00
00.00.07;24.09.00;24.07.00;24.05.00
00.00.08;24.09.00;24.07.00;24.05.00
00.00.09;24.09.00;24.07.00;24.05.00
00.00.10;24.09.00;24.07.00;24.05.00
00.00.11;24.09.00;24.07.00;24.05.00
00.00.12;24.09.00;24.07.00;24.05.00
00.00.13;24.09.00;24.07.00;24.05.00
00.00.14;24.09.00;24.07.00;24.05.00
00.00.15;24.09.00;24.07.00;24.05.00
00.00.16;24.09.00;24.07.00;24.05.00
00.00.17;24.09.00;24.07.00;24.05.00
00.00.18;24.09.00;24.07.00;24.05.00
00.00.19;24.09.00;24.07.00;24.05.00
00.00.20;24.09.00;24.07.00;24.05.00
00.00.21;24.09.00;24.07.00;24.05.00
00.00.22;24.09.00;24.07.00;24.05.00
00.00.23;24.09.00;24.07.00;24.05.00
00.00.24;24.09.00;24.07.00;24.05.00
00.00.25;24.09.00;24.07.00;24.05.00
00.00.26;24.08.00;24.06.00;24.05.00
00.00.27;24.09.00;24.06.00;24.05.00
00.00.28;24.08.00;24.06.00;24.05.00
00.00.29;24.09.00;24.06.00;24.05.00
00.00.30;24.09.00;24.06.00;24.05.00
00.00.31;24.08.00;24.06.00;24.05.00
00.00.32;24.08.00;24.06.00;24.05.00
00.00.33;24.08.00;24.06.00;24.05.00
00.00.34;24.09.00;24.07.00;24.05.00
00.00.35;24.09.00;24.07.00;24.05.00
00.00.36;24.09.00;24.07.00;24.05.00
00.00.37;24.09.00;24.07.00;24.06.00
00.00.38;24.09.00;24.07.00;24.06.00
00.00.39;24.09.00;24.08.00;24.06.00
00.00.40;25.00.00;24.08.00;24.07.00
00.00.41;25.00.00;24.08.00;24.07.00
00.00.42;25.00.00;24.08.00;24.07.00
00.00.43;25.00.00;24.09.00;24.07.00
00.00.44;25.00.00;24.09.00;24.08.00
00.00.45;25.00.00;24.09.00;24.08.00
00.00.46;25.00.00;24.09.00;24.08.00
00.00.47;25.00.00;24.09.00;24.08.00
00.00.48;25.00.00;24.09.00;24.07.00
00.00.49;25.00.00;24.09.00;24.07.00
00.00.50;25.00.00;24.09.00;24.07.00
00.00.51;25.00.00;24.09.00;24.08.00
00.00.52;25.00.00;24.09.00;24.08.00
00.00.53;25.00.00;24.09.00;24.08.00
00.00.54;25.00.00;25.00.00;24.08.00
00.00.55;25.00.00;25.00.00;24.08.00
00.00.56;25.00.00;25.00.00;24.08.00
00.00.57;25.00.00;25.00.00;24.08.00
00.00.58;25.00.00;25.00.00;24.08.00
00.00.59;25.00.00;25.00.00;24.09.00
00.01.00;25.00.00;25.00.00;24.09.00
00.01.01;25.00.00;25.00.00;24.09.00
00.01.02;25.00.00;25.00.00;24.09.00
00.01.03;25.00.00;25.00.00;24.09.00
00.01.04;25.00.00;25.00.00;24.09.00
00.01.05;25.00.00;25.00.00;24.09.00
00.01.06;25.00.00;25.00.00;24.09.00
00.01.07;25.00.00;25.01.00;24.09.00
00.01.08;25.00.00;25.01.00;24.09.00
00.01.09;25.00.00;25.01.00;24.09.00
00.01.10;25.00.00;25.01.00;24.09.00
00.01.11;25.00.00;25.01.00;24.09.00
00.01.12;25.00.00;25.01.00;24.09.00
00.01.13;25.00.00;25.01.00;25.00.00
00.01.14;25.00.00;25.01.00;25.00.00
00.01.15;25.00.00;25.01.00;25.00.00
00.01.16;25.00.00;25.01.00;25.00.00
00.01.17;25.00.00;25.01.00;25.00.00
00.01.18;25.00.00;25.01.00;25.00.00
00.01.19;25.01.00;25.01.00;25.00.00
00.01.20;25.00.00;25.01.00;25.00.00
00.01.21;25.01.00;25.01.00;25.00.00
00.01.22;25.01.00;25.01.00;25.00.00
00.01.23;25.01.00;25.01.00;25.00.00
00.01.24;25.01.00;25.01.00;25.00.00
00.01.25;25.00.00;25.01.00;25.00.00
00.01.26;25.00.00;25.01.00;25.00.00
00.01.27;25.00.00;25.02.00;25.00.00
00.01.28;25.01.00;25.02.00;25.00.00
00.01.29;25.01.00;25.02.00;25.00.00
00.01.30;25.01.00;25.02.00;25.00.00
00.01.31;25.01.00;25.02.00;25.00.00
00.01.32;25.01.00;25.02.00;25.00.00
00.01.33;25.01.00;25.02.00;25.00.00
00.01.34;25.01.00;25.02.00;25.00.00
00.01.35;25.01.00;25.02.00;25.00.00
00.01.36;25.01.00;25.02.00;25.00.00
00.01.37;25.01.00;25.02.00;25.00.00
00.01.38;25.01.00;25.02.00;25.00.00
00.01.39;25.01.00;25.02.00;25.00.00
00.01.40;25.01.00;25.02.00;25.00.00
00.01.41;25.01.00;25.02.00;25.00.00
00.01.42;25.01.00;25.02.00;25.00.00
00.01.43;25.01.00;25.02.00;25.00.00
00.01.44;25.01.00;25.02.00;25.00.00
00.01.45;25.01.00;25.02.00;25.00.00
00.01.46;25.01.00;25.02.00;25.00.00
00.01.47;25.01.00;25.02.00;25.00.00
00.01.48;25.01.00;25.02.00;25.00.00
00.01.49;25.01.00;25.02.00;25.00.00
00.01.50;25.01.00;25.02.00;25.00.00
00.01.51;25.01.00;25.02.00;25.00.00
00.01.52;25.01.00;25.02.00;25.00.00
00.01.53;25.01.00;25.02.00;25.00.00
00.01.54;25.01.00;25.02.00;25.00.00
00.01.55;25.01.00;25.02.00;25.00.00
00.01.56;25.01.00;25.02.00;25.00.00
00.01.57;25.01.00;25.02.00;25.00.00
00.01.58;25.01.00;25.02.00;25.00.00
00.01.59;25.01.00;25.02.00;25.00.00
00.02.00;25.01.00;25.02.00;25.00.00
00.02.01;25.01.00;25.02.00;25.00.00
00.02.02;25.01.00;25.02.00;25.00.00
00.02.03;25.01.00;25.02.00;25.00.00
00.02.04;25.01.00;25.02.00;25.00.00
00.02.05;25.01.00;25.02.00;25.00.00
00.02.06;25.01.00;25.02.00;25.00.00
00.02.07;25.01.00;25.02.00;24.09.00
00.02.08;25.01.00;25.02.00;25.00.00
00.02.09;25.00.00;25.02.00;25.00.00
00.02.10;25.01.00;25.02.00;25.00.00
00.02.11;25.01.00;25.02.00;25.00.00
00.02.12;25.01.00;25.02.00;25.00.00
00.02.13;25.01.00;25.02.00;24.09.00
00.02.14;25.00.00;25.02.00;24.09.00
00.02.15;25.00.00;25.02.00;24.09.00
00.02.16;25.01.00;25.02.00;24.09.00
00.02.17;25.00.00;25.02.00;24.09.00
00.02.18;25.00.00;25.01.00;24.09.00
00.02.19;25.00.00;25.01.00;24.09.00
00.02.20;25.00.00;25.01.00;24.09.00
00.02.21;25.00.00;25.01.00;24.09.00
00.02.22;25.00.00;25.01.00;24.09.00
00.02.23;25.00.00;25.01.00;24.09.00
00.02.24;25.00.00;25.01.00;24.09.00
00.02.25;25.00.00;25.01.00;24.09.00
00.02.26;25.00.00;25.01.00;24.09.00
00.02.27;25.00.00;25.02.00;24.09.00
00.02.28;25.00.00;25.02.00;24.09.00
