Time - Seconds;Temp1;Temp2;Temp3
00.00.00;24.05.00;24.04.00;24.03.00
00.00.01;24.05.00;24.04.00;24.03.00
00.00.02;24.05.00;24.04.00;24.03.00
00.00.03;24.05.00;24.04.00;24.03.00
00.00.04;24.05.00;24.04.00;24.03.00
00.00.05;24.05.00;24.04.00;24.03.00
00.00.06;24.05.00;24.04.00;24.03.00
00.00.07;24.05.00;24.04.00;24.03.00
00.00.08;24.05.00;24.04.00;24.03.00
00.00.09;24.05.00;24.04.00;24.03.00
00.00.10;24.05.00;24.04.00;24.03.00
00.00.11;24.05.00;24.04.00;24.03.00
00.00.12;24.05.00;24.04.00;24.03.00
00.00.13;24.05.00;24.04.00;24.03.00
00.00.14;24.05.00;24.04.00;24.03.00
00.00.15;24.05.00;24.04.00;24.03.00
00.00.16;24.05.00;24.04.00;24.03.00
00.00.17;24.05.00;24.04.00;24.03.00
00.00.18;24.05.00;24.04.00;24.03.00
00.00.19;24.05.00;24.04.00;24.03.00
00.00.20;24.05.00;24.04.00;24.03.00
00.00.21;24.05.00;24.04.00;24.03.00
00.00.22;24.05.00;24.04.00;24.03.00
00.00.23;24.05.00;24.04.00;24.03.00
00.00.24;24.05.00;24.04.00;24.03.00
00.00.25;24.05.00;24.04.00;24.03.00
00.00.26;24.05.00;24.04.00;24.03.00
00.00.27;24.05.00;24.04.00;24.03.00
00.00.28;24.05.00;24.04.00;24.03.00
00.00.29;24.05.00;24.04.00;24.03.00
00.00.30;24.05.00;24.04.00;24.03.00
00.00.31;24.05.00;24.04.00;24.03.00
00.00.32;24.05.00;24.04.00;24.03.00
00.00.33;24.05.00;24.04.00;24.03.00
00.00.34;24.05.00;24.04.00;24.03.00
00.00.35;24.05.00;24.04.00;24.03.00
00.00.36;24.05.00;24.04.00;24.03.00
00.00.37;24.05.00;24.04.00;24.03.00
00.00.38;24.05.00;24.04.00;24.03.00
00.00.39;24.05.00;24.04.00;24.03.00
00.00.40;24.05.00;24.04.00;24.03.00
00.00.41;24.05.00;24.04.00;24.03.00
00.00.42;24.05.00;24.04.00;24.03.00
00.00.43;24.05.00;24.04.00;24.03.00
00.00.44;24.05.00;24.04.00;24.03.00
00.00.45;24.05.00;24.04.00;24.03.00
00.00.46;24.05.00;24.04.00;24.03.00
00.00.47;24.05.00;24.04.00;24.03.00
00.00.48;24.05.00;24.05.00;24.03.00
00.00.49;24.05.00;24.05.00;24.04.00
00.00.50;24.06.00;24.05.00;24.04.00
00.00.51;24.06.00;24.05.00;24.04.00
00.00.52;24.06.00;24.05.00;24.04.00
00.00.53;24.06.00;24.06.00;24.04.00
00.00.54;24.06.00;24.06.00;24.04.00
00.00.55;24.06.00;24.06.00;24.04.00
00.00.56;24.06.00;24.06.00;24.05.00
00.00.57;24.06.00;24.06.00;24.05.00
00.00.58;24.06.00;24.07.00;24.05.00
00.00.59;24.06.00;24.07.00;24.05.00
00.01.00;24.06.00;24.07.00;24.05.00
00.01.01;24.07.00;24.07.00;24.05.00
00.01.02;24.07.00;24.07.00;24.05.00
00.01.03;24.07.00;24.07.00;24.05.00
00.01.04;24.07.00;24.07.00;24.05.00
00.01.05;24.07.00;24.07.00;24.05.00
00.01.06;24.07.00;24.07.00;24.05.00
00.01.07;24.07.00;24.07.00;24.05.00
00.01.08;24.07.00;24.07.00;24.05.00
00.01.09;24.07.00;24.07.00;24.05.00
00.01.10;24.07.00;24.07.00;24.05.00
00.01.11;24.07.00;24.07.00;24.05.00
00.01.12;24.07.00;24.07.00;24.05.00
