"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","25.6","25.3","25.1","25.4"
"00:00:01","25.6","25.3","25.1","25.4"
"00:00:02","25.6","25.3","25.1","25.4"
"00:00:03","25.6","25.3","25.1","25.4"
"00:00:04","25.6","25.3","25.1","25.3"
"00:00:05","25.6","25.3","25.1","25.3"
"00:00:06","25.6","25.3","25.1","25.3"
"00:00:07","25.6","25.3","25.1","25.3"
"00:00:08","25.6","25.3","25.1","25.3"
"00:00:09","25.6","25.3","25.1","25.3"
"00:00:10","25.6","25.3","25.1","25.3"
"00:00:11","25.6","25.3","25.1","25.3"
"00:00:12","25.6","25.3","25.0","25.3"
"00:00:13","25.5","25.3","25.0","25.3"
"00:00:14","25.6","25.3","25.0","25.3"
"00:00:15","25.5","25.3","25.0","25.3"
"00:00:16","25.5","25.3","25.0","25.3"
"00:00:17","25.5","25.2","25.0","25.3"
"00:00:18","25.5","25.2","25.0","25.2"
"00:00:19","25.5","25.2","25.0","25.2"
"00:00:20","25.5","25.2","25.0","25.2"
"00:00:21","25.5","25.2","25.0","25.2"
"00:00:22","25.5","25.2","24.9","25.2"
"00:00:23","25.5","25.2","24.9","25.2"
"00:00:24","25.5","25.2","24.9","25.2"
"00:00:25","25.5","25.2","24.9","25.2"
"00:00:26","25.5","25.2","24.9","25.2"
"00:00:27","25.6","25.2","24.9","25.2"
"00:00:28","25.6","25.2","25.0","25.2"
"00:00:29","25.6","25.3","25.0","25.2"
"00:00:30","25.7","25.3","25.0","25.2"
"00:00:31","25.7","25.4","25.1","25.1"
"00:00:32","25.7","25.4","25.1","25.1"
"00:00:33","25.7","25.4","25.1","25.1"
"00:00:34","25.7","25.4","25.1","25.1"
"00:00:35","25.7","25.4","25.1","25.1"
"00:00:36","25.7","25.4","25.1","25.1"
"00:00:37","25.7","25.5","25.2","25.1"
"00:00:38","25.7","25.5","25.2","25.1"
"00:00:39","25.7","25.5","25.2","25.0"
"00:00:40","25.7","25.5","25.2","25.0"
"00:00:41","25.7","25.5","25.2","25.0"
"00:00:42","25.8","25.5","25.2","25.0"
"00:00:43","25.8","25.6","25.2","25.0"
"00:00:44","25.8","25.6","25.2","25.0"
"00:00:45","25.8","25.6","25.2","25.0"
"00:00:46","25.8","25.6","25.2","25.0"
"00:00:47","25.8","25.6","25.2","25.0"
"00:00:48","25.8","25.6","25.2","25.0"
"00:00:49","25.8","25.6","25.2","25.0"
"00:00:50","25.8","25.6","25.2","24.9"
"00:00:51","25.8","25.6","25.2","24.9"
"00:00:52","25.8","25.6","25.2","24.9"
"00:00:53","25.8","25.6","25.2","24.9"
"00:00:54","25.8","25.6","25.2","24.9"
"00:00:55","25.8","25.7","25.2","24.9"
"00:00:56","25.8","25.7","25.2","24.9"
"00:00:57","25.8","25.7","25.2","24.9"
"00:00:58","25.8","25.7","25.2","24.9"
"00:00:59","25.8","25.7","25.2","24.8"
"00:01:00","25.8","25.7","25.2","24.8"
"00:01:01","25.8","25.7","25.2","24.8"
"00:01:02","25.8","25.7","25.2","24.8"
"00:01:03","25.8","25.7","25.2","24.8"
"00:01:04","25.8","25.7","25.2","24.7"
"00:01:05","25.8","25.7","25.2","24.7"
"00:01:06","25.8","25.7","25.2","24.7"
"00:01:07","25.8","25.7","25.2","24.7"
"00:01:08","25.8","25.7","25.2","24.7"
"00:01:09","25.8","25.7","25.2","24.7"
"00:01:10","25.8","25.7","25.2","24.7"
"00:01:11","25.8","25.7","25.2","24.7"
"00:01:12","25.8","25.7","25.2","24.7"
"00:01:13","25.8","25.7","25.2","24.6"
"00:01:14","25.8","25.7","25.2","24.6"
"00:01:15","25.8","25.7","25.2","24.6"
"00:01:16","25.8","25.7","25.2","24.6"
"00:01:17","25.8","25.7","25.2","24.6"
"00:01:18","25.8","25.7","25.3","24.6"
"00:01:19","25.8","25.7","25.3","24.6"
"00:01:20","25.8","25.7","25.3","24.6"
"00:01:21","25.9","25.7","25.3","24.6"
"00:01:22","25.9","25.7","25.3","24.6"
"00:01:23","25.9","25.7","25.3","24.6"
"00:01:24","25.9","25.7","25.3","24.6"
"00:01:25","25.9","25.7","25.3","24.6"
"00:01:26","25.9","25.7","25.3","24.6"
"00:01:27","25.8","25.7","25.3","24.6"
"00:01:28","25.9","25.7","25.3","24.6"
"00:01:29","25.8","25.7","25.3","24.6"
"00:01:30","25.8","25.8","25.4","24.5"
"00:01:31","25.8","25.8","25.4","24.5"
"00:01:32","25.8","25.8","25.4","24.5"
"00:01:33","25.8","25.7","25.4","24.5"
"00:01:34","25.8","25.7","25.4","24.5"
"00:01:35","25.9","25.7","25.4","24.5"
"00:01:36","25.9","25.7","25.4","24.5"
"00:01:37","25.9","25.7","25.3","24.5"
"00:01:38","25.9","25.7","25.3","24.5"
"00:01:39","25.9","25.7","25.3","24.5"
"00:01:40","25.9","25.8","25.3","24.5"
"00:01:41","25.9","25.7","25.3","24.5"
"00:01:42","25.9","25.8","25.4","24.5"
"00:01:43","25.9","25.8","25.4","24.5"
"00:01:44","25.9","25.8","25.4","24.5"
"00:01:45","25.9","25.8","25.4","24.4"
"00:01:46","25.9","25.8","25.4","24.4"
"00:01:47","25.9","25.7","25.3","24.4"
"00:01:48","25.9","25.7","25.3","24.4"
"00:01:49","25.9","25.7","25.3","24.4"
"00:01:50","25.9","25.7","25.3","24.4"
"00:01:51","25.9","25.7","25.3","24.4"
"00:01:52","25.9","25.7","25.3","24.4"
"00:01:53","25.9","25.7","25.3","24.4"
"00:01:54","25.9","25.7","25.3","24.4"
"00:01:55","25.9","25.7","25.3","24.4"
"00:01:56","25.9","25.7","25.3","24.4"
"00:01:57","25.9","25.7","25.2","24.4"
"00:01:58","25.9","25.7","25.2","24.4"
"00:01:59","25.9","25.7","25.2","24.4"
"00:02:00","25.8","25.7","25.2","24.4"
"00:02:01","25.8","25.7","25.2","24.3"
"00:02:02","25.8","25.7","25.2","24.3"
"00:02:03","25.8","25.7","25.2","24.3"
"00:02:04","25.8","25.7","25.2","24.3"
"00:02:05","25.8","25.7","25.2","24.3"
"00:02:06","25.8","25.7","25.2","24.3"
"00:02:07","25.8","25.7","25.2","24.3"
"00:02:08","25.8","25.7","25.2","24.3"
