Time - Seconds;Temp1;Temp2;Temp3
00.02.12;24.08.00;24.07.00;24.06.00
00.02.13;24.08.00;24.07.00;24.06.00
00.02.14;24.08.00;24.07.00;24.06.00
00.02.15;24.08.00;24.07.00;24.06.00
00.02.16;24.08.00;24.07.00;24.06.00
00.02.17;24.08.00;24.07.00;24.06.00
00.02.18;24.08.00;24.07.00;24.06.00
00.02.19;24.08.00;24.07.00;24.06.00
00.02.20;24.08.00;24.07.00;24.06.00
00.02.21;24.08.00;24.08.00;24.06.00
00.02.22;24.08.00;24.08.00;24.06.00
00.02.23;24.08.00;24.08.00;24.06.00
00.02.24;24.08.00;24.08.00;24.06.00
00.02.25;24.08.00;24.08.00;24.06.00
00.02.26;24.08.00;24.08.00;24.06.00
00.02.27;24.08.00;24.08.00;24.07.00
00.02.28;24.08.00;24.08.00;24.06.00
00.02.29;24.08.00;24.08.00;24.07.00
00.02.30;24.08.00;24.08.00;24.07.00
00.02.31;24.08.00;24.08.00;24.07.00
00.02.32;24.08.00;24.08.00;24.07.00
00.02.33;24.08.00;24.08.00;24.07.00
00.02.34;24.08.00;24.08.00;24.07.00
00.02.35;24.08.00;24.08.00;24.07.00
00.02.36;24.08.00;24.08.00;24.07.00
00.02.37;24.08.00;24.08.00;24.07.00
00.02.38;24.08.00;24.08.00;24.07.00
00.02.39;24.08.00;24.08.00;24.07.00
00.02.40;24.08.00;24.08.00;24.07.00
00.02.41;24.08.00;24.08.00;24.07.00
00.02.42;24.08.00;24.08.00;24.06.00
00.02.43;24.08.00;24.08.00;24.07.00
00.02.44;24.08.00;24.08.00;24.07.00
00.02.45;24.08.00;24.08.00;24.07.00
00.02.46;24.08.00;24.08.00;24.06.00
00.02.47;24.08.00;24.08.00;24.06.00
00.02.48;24.08.00;24.08.00;24.06.00
00.02.49;24.08.00;24.08.00;24.07.00
00.02.50;24.08.00;24.08.00;24.07.00
00.02.51;24.08.00;24.08.00;24.07.00
00.02.52;24.08.00;24.08.00;24.07.00
00.02.53;24.08.00;24.08.00;24.07.00
00.02.54;24.08.00;24.08.00;24.07.00
00.02.55;24.08.00;24.08.00;24.07.00
00.02.56;24.08.00;24.08.00;24.07.00
00.02.57;24.08.00;24.08.00;24.07.00
00.02.58;24.08.00;24.08.00;24.07.00
00.02.59;24.08.00;24.08.00;24.07.00
00.03.00;24.08.00;24.08.00;24.07.00
00.03.01;24.08.00;24.08.00;24.07.00
00.03.02;24.08.00;24.08.00;24.07.00
00.03.03;24.08.00;24.08.00;24.07.00
00.03.04;24.08.00;24.08.00;24.07.00
00.03.05;24.08.00;24.08.00;24.07.00
00.03.06;24.08.00;24.08.00;24.07.00
00.03.07;24.08.00;24.08.00;24.07.00
00.03.08;24.08.00;24.08.00;24.07.00
00.03.09;24.08.00;24.08.00;24.07.00
00.03.10;24.08.00;24.08.00;24.07.00
00.03.11;24.08.00;24.08.00;24.07.00
00.03.12;24.08.00;24.08.00;24.07.00
00.03.13;24.08.00;24.08.00;24.07.00
00.03.14;24.08.00;24.08.00;24.07.00
00.03.15;24.08.00;24.08.00;24.07.00
00.03.16;24.08.00;24.08.00;24.07.00
00.03.17;24.08.00;24.08.00;24.07.00
00.03.18;24.08.00;24.08.00;24.07.00
00.03.19;24.08.00;24.09.00;24.08.00
00.03.20;24.08.00;24.09.00;24.08.00
00.03.21;24.08.00;24.09.00;24.07.00
00.03.22;24.08.00;24.09.00;24.08.00
00.03.23;24.08.00;24.09.00;24.08.00
00.03.24;24.08.00;24.09.00;24.07.00
00.03.25;24.08.00;24.09.00;24.07.00
00.03.26;24.08.00;24.09.00;24.07.00
00.03.27;24.08.00;24.09.00;24.07.00
00.03.28;24.08.00;24.09.00;24.07.00
00.03.29;24.08.00;24.09.00;24.07.00
00.03.30;24.08.00;24.09.00;24.07.00
00.03.31;24.08.00;24.09.00;24.07.00
00.03.32;24.08.00;24.09.00;24.07.00
00.03.33;24.08.00;24.09.00;24.07.00
00.03.34;24.08.00;24.09.00;24.07.00
00.03.35;24.08.00;24.09.00;24.07.00
00.03.36;24.08.00;24.09.00;24.07.00
00.03.37;24.08.00;24.09.00;24.07.00
00.03.38;24.08.00;24.09.00;24.07.00
00.03.39;24.08.00;24.09.00;24.07.00
00.03.40;24.08.00;24.09.00;24.07.00
00.03.41;24.08.00;24.09.00;24.07.00
00.03.42;24.08.00;24.09.00;24.07.00
00.03.43;24.08.00;24.09.00;24.07.00
00.03.44;24.08.00;24.09.00;24.07.00
00.03.45;24.08.00;24.09.00;24.08.00
00.03.46;24.08.00;24.09.00;24.08.00
00.03.47;24.08.00;24.09.00;24.08.00
00.03.48;24.08.00;24.09.00;24.08.00
00.03.49;24.08.00;24.09.00;24.08.00
00.03.50;24.08.00;24.09.00;24.08.00
00.03.51;24.08.00;24.09.00;24.08.00
00.03.52;24.08.00;24.09.00;24.08.00
00.03.53;24.08.00;24.09.00;24.08.00
00.03.54;24.08.00;24.09.00;24.08.00
00.03.55;24.08.00;24.09.00;24.08.00
00.03.56;24.08.00;24.09.00;24.08.00
00.03.57;24.08.00;24.09.00;24.08.00
00.03.58;24.08.00;24.09.00;24.08.00
00.03.59;24.08.00;24.09.00;24.08.00
00.04.00;24.08.00;24.09.00;24.08.00
00.04.01;24.08.00;24.09.00;24.08.00
00.04.02;24.08.00;24.09.00;24.08.00
00.04.03;24.08.00;24.09.00;24.08.00
00.04.04;24.08.00;24.09.00;24.08.00
00.04.05;24.08.00;24.09.00;24.08.00
00.04.06;24.08.00;24.09.00;24.08.00
00.04.07;24.08.00;24.09.00;24.08.00
00.04.08;24.08.00;24.09.00;24.08.00
00.04.09;24.08.00;24.09.00;24.08.00
00.04.10;24.08.00;24.09.00;24.08.00
00.04.11;24.08.00;24.09.00;24.08.00
00.04.12;24.08.00;24.08.00;24.08.00
00.04.13;24.08.00;24.08.00;24.08.00
00.04.14;24.08.00;24.08.00;24.08.00
00.04.15;24.08.00;24.08.00;24.08.00
00.04.16;24.08.00;24.08.00;24.08.00
00.04.17;24.08.00;24.08.00;24.08.00
00.04.18;24.08.00;24.08.00;24.08.00
00.04.19;24.08.00;24.08.00;24.08.00
00.04.20;24.08.00;24.08.00;24.08.00
00.04.21;24.08.00;24.08.00;24.08.00
00.04.22;24.08.00;24.08.00;24.07.00
00.04.23;24.08.00;24.08.00;24.07.00
00.04.24;24.07.00;24.08.00;24.07.00
00.04.25;24.07.00;24.07.00;24.07.00
00.04.26;24.07.00;24.07.00;24.07.00
00.04.27;24.07.00;24.07.00;24.07.00
00.04.28;24.07.00;24.07.00;24.07.00
00.04.29;24.07.00;24.07.00;24.06.00
00.04.30;24.07.00;24.07.00;24.06.00
00.04.31;24.07.00;24.07.00;24.06.00
00.04.32;24.07.00;24.07.00;24.06.00
00.04.33;24.07.00;24.06.00;24.06.00
00.04.34;24.07.00;24.06.00;24.06.00
00.04.35;24.07.00;24.06.00;24.06.00
00.04.36;24.07.00;24.06.00;24.06.00
00.04.37;24.07.00;24.06.00;24.06.00
00.04.38;24.07.00;24.06.00;24.06.00
00.04.39;24.07.00;24.06.00;24.06.00
00.04.40;24.07.00;24.06.00;24.06.00
00.04.41;24.07.00;24.06.00;24.06.00
00.04.42;24.07.00;24.06.00;24.06.00
00.04.43;24.07.00;24.06.00;24.06.00
00.04.44;24.07.00;24.06.00;24.05.00
00.04.45;24.07.00;24.06.00;24.05.00
00.04.46;24.07.00;24.06.00;24.05.00
00.04.47;24.07.00;24.06.00;24.05.00
00.04.48;24.07.00;24.06.00;24.05.00
00.04.49;24.07.00;24.06.00;24.05.00
00.04.50;24.07.00;24.06.00;24.05.00
00.04.51;24.07.00;24.06.00;24.05.00
00.04.52;24.07.00;24.06.00;24.05.00
00.04.53;24.07.00;24.06.00;24.05.00
00.04.54;24.07.00;24.06.00;24.05.00
00.04.55;24.07.00;24.06.00;24.05.00
00.04.56;24.07.00;24.06.00;24.04.00
00.04.57;24.07.00;24.05.00;24.04.00
00.04.58;24.07.00;24.06.00;24.05.00
00.04.59;24.07.00;24.06.00;24.05.00
00.05.00;24.07.00;24.06.00;24.06.00
00.05.01;24.07.00;24.06.00;24.06.00
00.05.02;24.07.00;24.06.00;24.06.00
00.05.03;24.07.00;24.06.00;24.06.00
00.05.04;24.07.00;24.06.00;24.06.00
00.05.05;24.07.00;24.06.00;24.06.00
00.05.06;24.07.00;24.06.00;24.07.00
00.05.07;24.07.00;24.06.00;24.07.00
00.05.08;24.07.00;24.06.00;24.07.00
00.05.09;24.07.00;24.06.00;24.07.00
00.05.10;24.07.00;24.06.00;24.07.00
00.05.11;24.07.00;24.07.00;24.08.00
00.05.12;24.07.00;24.07.00;24.08.00
00.05.13;24.07.00;24.07.00;24.09.00
00.05.14;24.08.00;24.07.00;24.09.00
00.05.15;24.08.00;24.08.00;24.09.00
00.05.16;24.08.00;24.08.00;24.09.00
00.05.17;24.08.00;24.08.00;24.09.00
00.05.18;24.08.00;24.08.00;24.09.00
00.05.19;24.08.00;24.08.00;24.09.00
00.05.20;24.08.00;24.08.00;24.09.00
00.05.21;24.08.00;24.08.00;24.09.00
00.05.22;24.08.00;24.08.00;24.09.00
00.05.23;24.08.00;24.08.00;24.09.00
00.05.24;24.08.00;24.08.00;24.09.00
00.05.25;24.08.00;24.09.00;25.00.00
00.05.26;24.08.00;24.08.00;24.09.00
00.05.27;24.08.00;24.08.00;24.09.00
00.05.28;24.08.00;24.08.00;24.09.00
00.05.29;24.08.00;24.08.00;24.09.00
00.05.30;24.08.00;24.08.00;24.09.00
00.05.31;24.07.00;24.08.00;24.09.00
00.05.32;24.07.00;24.08.00;24.09.00
00.05.33;24.07.00;24.08.00;24.08.00
00.05.34;24.07.00;24.08.00;24.08.00
00.05.35;24.07.00;24.09.00;25.00.00
00.05.36;24.07.00;25.01.00;25.02.00
00.05.37;24.07.00;25.06.00;25.07.00
00.05.38;24.07.00;26.02.00;26.03.00
00.05.39;24.07.00;26.09.00;27.00.00
00.05.40;24.07.00;27.06.00;27.09.00
00.05.41;24.07.00;28.05.00;28.08.00
00.05.42;24.07.00;29.04.00;29.08.00
00.05.43;24.08.00;30.04.00;30.09.00
00.05.44;24.08.00;31.03.00;32.01.00
00.05.45;24.08.00;32.03.00;33.04.00
00.05.46;24.08.00;33.03.00;34.06.00
00.05.47;24.09.00;34.02.00;35.09.00
00.05.48;24.09.00;35.01.00;37.01.00
00.05.49;25.00.00;36.01.00;38.03.00
00.05.50;25.00.00;36.09.00;39.04.00
00.05.51;25.01.00;37.07.00;40.05.00
00.05.52;25.01.00;38.05.00;41.06.00
00.05.53;25.02.00;39.05.00;42.06.00
00.05.54;25.03.00;40.04.00;43.05.00
00.05.55;25.04.00;41.02.00;44.03.00
00.05.56;25.05.00;41.09.00;45.01.00
00.05.57;25.05.00;42.06.00;45.08.00
00.05.58;25.06.00;43.03.00;46.05.00
00.05.59;25.07.00;44.01.00;47.00.00
00.06.00;25.08.00;44.07.00;47.06.00
00.06.01;25.09.00;45.04.00;48.02.00
00.06.02;26.01.00;46.01.00;48.07.00
00.06.03;26.01.00;46.08.00;49.01.00
00.06.04;26.02.00;47.04.00;49.07.00
00.06.05;26.04.00;47.09.00;50.02.00
00.06.06;26.04.00;48.02.00;50.08.00
00.06.07;26.05.00;48.06.00;51.02.00
00.06.08;26.06.00;48.09.00;51.07.00
