"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","26.2","25.2","24.8","28.8"
"00:00:01","26.1","25.2","24.8","28.8"
"00:00:02","26.1","25.2","24.9","28.8"
"00:00:03","26.1","25.2","24.9","28.8"
"00:00:04","26.1","25.2","24.8","28.8"
"00:00:05","26.1","25.2","24.8","28.7"
"00:00:06","26.1","25.2","24.8","28.7"
"00:00:07","26.1","25.2","24.8","28.7"
"00:00:08","26.1","25.2","24.8","28.7"
"00:00:09","26.1","25.2","24.8","28.7"
"00:00:10","26.1","25.2","24.8","28.7"
"00:00:11","26.0","25.2","24.8","28.7"
"00:00:12","26.0","25.2","24.8","28.7"
"00:00:13","26.0","25.1","24.8","28.7"
"00:00:14","26.0","25.1","24.8","28.7"
"00:00:15","26.0","25.1","24.8","28.7"
"00:00:16","26.0","25.1","24.8","28.7"
"00:00:17","26.0","25.1","24.8","28.7"
"00:00:18","26.0","25.1","24.8","28.7"
"00:00:19","26.0","25.1","24.8","28.7"
"00:00:20","25.9","25.1","24.8","28.7"
"00:00:21","25.9","25.1","24.8","28.7"
"00:00:22","25.9","25.1","24.8","28.7"
"00:00:23","25.9","25.1","24.8","28.7"
"00:00:24","25.9","25.1","24.8","28.6"
"00:00:25","25.9","25.1","24.8","28.6"
"00:00:26","25.9","25.1","24.7","28.6"
"00:00:27","25.9","25.1","24.7","28.6"
"00:00:28","25.9","25.1","24.7","28.6"
"00:00:29","25.9","25.1","24.7","28.6"
"00:00:30","25.8","25.1","24.7","28.6"
"00:00:31","25.8","25.1","24.7","28.6"
"00:00:32","25.8","25.0","24.7","28.6"
"00:00:33","25.8","25.0","24.8","28.6"
"00:00:34","25.8","25.0","24.7","28.6"
"00:00:35","25.8","25.0","24.7","28.6"
"00:00:36","25.8","25.0","24.7","28.6"
"00:00:37","25.8","25.0","24.8","28.6"
"00:00:38","25.8","25.0","24.8","28.6"
"00:00:39","25.8","25.0","24.8","28.6"
"00:00:40","25.8","25.0","24.8","28.6"
"00:00:41","25.8","25.0","24.8","28.6"
"00:00:42","25.7","25.0","24.8","28.6"
"00:00:43","25.7","25.0","24.8","28.5"
"00:00:44","25.7","25.0","24.8","28.5"
"00:00:45","25.7","25.0","24.8","28.5"
"00:00:46","25.7","25.0","24.8","28.5"
"00:00:47","25.7","25.0","24.8","28.5"
"00:00:48","25.7","25.1","24.8","28.5"
"00:00:49","25.7","25.1","24.9","28.5"
"00:00:50","25.7","25.1","24.9","28.5"
"00:00:51","25.7","25.1","24.9","28.5"
"00:00:52","25.7","25.1","24.9","28.5"
"00:00:53","25.7","25.1","24.9","28.5"
"00:00:54","25.7","25.1","24.9","28.5"
"00:00:55","25.7","25.1","24.9","28.5"
"00:00:56","25.7","25.1","24.9","28.5"
"00:00:57","25.7","25.1","24.9","28.5"
"00:00:58","25.6","25.1","24.9","28.5"
"00:00:59","25.6","25.1","24.9","28.5"
"00:01:00","25.6","25.1","24.9","28.5"
"00:01:01","25.6","25.1","24.9","28.5"
"00:01:02","25.6","25.1","24.9","28.5"
"00:01:03","25.6","25.1","24.9","28.5"
"00:01:04","25.6","25.1","24.9","28.5"
"00:01:05","25.6","25.1","24.9","28.5"
"00:01:06","25.6","25.1","24.9","28.5"
"00:01:07","25.6","25.1","24.9","28.5"
"00:01:08","25.6","25.1","24.9","28.5"
"00:01:09","25.6","25.1","24.9","28.4"
"00:01:10","25.5","25.1","24.9","28.4"
"00:01:11","25.5","25.1","24.9","28.4"
"00:01:12","25.5","25.1","24.9","28.4"
"00:01:13","25.6","25.1","24.9","28.4"
"00:01:14","25.5","25.1","24.9","28.4"
"00:01:15","25.5","25.1","24.9","28.4"
"00:01:16","25.5","25.1","24.9","28.4"
"00:01:17","25.5","25.1","24.9","28.4"
"00:01:18","25.5","25.1","24.9","28.4"
"00:01:19","25.5","25.1","24.9","28.4"
"00:01:20","25.5","25.1","24.9","28.4"
"00:01:21","25.5","25.1","24.9","28.4"
"00:01:22","25.5","25.0","24.9","28.4"
