"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","25.8","26.4","26.1","25.5"
"00:00:01","25.8","26.4","26.1","25.5"
"00:00:02","25.8","26.4","26.1","25.5"
"00:00:03","25.8","26.3","26.1","25.5"
"00:00:04","25.8","26.3","26.1","25.5"
"00:00:05","25.8","26.3","26.0","25.5"
"00:00:06","25.8","26.3","26.0","25.5"
"00:00:07","25.8","26.2","26.0","25.5"
"00:00:08","25.8","26.2","26.0","25.5"
"00:00:09","25.8","26.2","25.9","25.5"
"00:00:10","25.7","26.2","25.9","25.5"
"00:00:11","25.7","26.1","25.9","25.5"
"00:00:12","25.7","26.1","25.9","25.5"
"00:00:13","25.7","26.1","25.9","25.5"
"00:00:14","25.7","26.1","25.9","25.5"
"00:00:15","25.7","26.1","25.9","25.5"
"00:00:16","25.8","26.1","25.9","25.5"
"00:00:17","25.8","26.1","25.9","25.5"
"00:00:18","25.8","26.1","25.9","25.5"
"00:00:19","25.8","26.0","25.8","25.5"
"00:00:20","25.7","26.0","25.8","25.5"
"00:00:21","25.7","26.0","25.7","25.5"
"00:00:22","25.7","25.9","25.7","25.5"
"00:00:23","25.7","25.9","25.7","25.5"
"00:00:24","25.7","25.9","25.7","25.4"
"00:00:25","25.7","25.9","25.7","25.4"
"00:00:26","25.7","25.9","25.7","25.4"
"00:00:27","25.7","25.9","25.8","25.4"
"00:00:28","25.8","25.9","25.8","25.4"
"00:00:29","25.8","25.9","25.7","25.4"
"00:00:30","25.8","25.9","25.7","25.4"
"00:00:31","25.8","25.8","25.6","25.4"
"00:00:32","25.8","25.8","25.5","25.3"
"00:00:33","25.8","25.8","25.5","25.3"
"00:00:34","25.8","25.8","25.5","25.3"
"00:00:35","25.8","25.8","25.5","25.3"
"00:00:36","25.8","25.7","25.5","25.3"
"00:00:37","25.8","25.7","25.5","25.3"
"00:00:38","25.8","25.7","25.5","25.3"
"00:00:39","25.8","25.7","25.4","25.3"
"00:00:40","25.8","25.7","25.4","25.2"
"00:00:41","25.8","25.7","25.4","25.2"
"00:00:42","25.8","25.7","25.4","25.2"
"00:00:43","25.8","25.7","25.3","25.2"
"00:00:44","25.8","25.7","25.4","25.2"
"00:00:45","25.8","25.6","25.4","25.2"
"00:00:46","25.8","25.6","25.4","25.2"
"00:00:47","25.8","25.6","25.3","25.2"
"00:00:48","25.8","25.6","25.3","25.1"
"00:00:49","25.7","25.6","25.2","25.1"
"00:00:50","25.7","25.6","25.2","25.1"
"00:00:51","25.7","25.6","25.2","25.1"
"00:00:52","25.8","25.5","25.2","25.1"
