"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","25.9","25.7","25.4","24.2"
"00:00:01","25.9","25.7","25.4","24.2"
"00:00:02","25.9","25.7","25.4","24.2"
"00:00:03","25.9","25.7","25.4","24.2"
"00:00:04","25.9","25.7","25.4","24.1"
"00:00:05","25.9","25.7","25.3","24.1"
"00:00:06","25.9","25.6","25.3","24.1"
"00:00:07","25.8","25.6","25.3","24.1"
"00:00:08","25.8","25.6","25.3","24.1"
"00:00:09","25.9","25.6","25.3","24.0"
"00:00:10","25.9","25.6","25.3","24.0"
"00:00:11","25.8","25.6","25.3","24.0"
"00:00:12","25.8","25.5","25.2","24.0"
"00:00:13","25.8","25.5","25.2","24.0"
"00:00:14","25.8","25.5","25.2","23.9"
"00:00:15","25.8","25.5","25.1","23.9"
"00:00:16","25.7","25.4","25.1","23.9"
"00:00:17","25.7","25.4","25.1","23.9"
"00:00:18","25.7","25.4","25.0","23.9"
"00:00:19","25.7","25.4","25.0","23.9"
"00:00:20","25.7","25.4","25.1","23.9"
"00:00:21","25.7","25.4","25.1","23.9"
"00:00:22","25.7","25.4","25.1","23.9"
"00:00:23","25.7","25.4","25.1","23.8"
"00:00:24","25.7","25.4","25.1","23.8"
"00:00:25","25.7","25.3","25.0","23.8"
"00:00:26","25.7","25.3","25.0","23.8"
"00:00:27","25.7","25.3","25.0","23.8"
"00:00:28","25.7","25.3","25.0","23.8"
"00:00:29","25.7","25.3","25.0","23.8"
"00:00:30","25.7","25.3","24.9","23.8"
"00:00:31","25.7","25.3","24.9","23.7"
"00:00:32","25.7","25.3","24.9","23.7"
"00:00:33","25.7","25.3","24.9","23.7"
"00:00:34","25.7","25.3","24.9","23.7"
"00:00:35","25.7","25.3","24.9","23.7"
"00:00:36","25.7","25.3","24.9","23.7"
"00:00:37","25.7","25.3","24.9","23.7"
"00:00:38","25.7","25.3","24.9","23.7"
"00:00:39","25.7","25.3","24.9","23.6"
"00:00:40","25.7","25.3","24.9","23.6"
"00:00:41","25.7","25.3","24.9","23.6"
"00:00:42","25.7","25.3","24.8","23.6"
"00:00:43","25.7","25.3","24.8","23.6"
"00:00:44","25.6","25.3","24.8","23.6"
"00:00:45","25.6","25.2","24.8","23.6"
"00:00:46","25.6","25.2","24.8","23.6"
"00:00:47","25.6","25.2","24.8","23.5"
"00:00:48","25.6","25.2","24.8","23.5"
"00:00:49","25.6","25.3","24.8","23.5"
"00:00:50","25.6","25.3","24.8","23.5"
"00:00:51","25.6","25.3","24.8","23.5"
"00:00:52","25.6","25.2","24.8","23.5"
"00:00:53","25.6","25.2","24.8","23.5"
"00:00:54","25.6","25.2","24.7","23.5"
"00:00:55","25.6","25.2","24.7","23.5"
