"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","25.4","25.4","25.1","26.1"
"00:00:01","25.4","25.4","25.1","26.1"
"00:00:02","25.4","25.3","25.1","26.1"
"00:00:03","25.4","25.3","25.1","26.1"
"00:00:04","25.4","25.3","25.0","26.1"
"00:00:05","25.4","25.3","25.0","26.1"
"00:00:06","25.4","25.3","25.0","26.1"
"00:00:07","25.4","25.3","25.0","26.1"
"00:00:08","25.4","25.3","25.0","26.1"
"00:00:09","25.4","25.2","25.0","26.1"
"00:00:10","25.4","25.2","25.0","26.1"
"00:00:11","25.4","25.2","24.9","26.1"
"00:00:12","25.4","25.2","24.9","26.1"
"00:00:13","25.4","25.2","25.0","26.1"
"00:00:14","25.4","25.2","25.0","26.1"
"00:00:15","25.4","25.2","25.0","26.1"
"00:00:16","25.4","25.2","25.0","26.1"
"00:00:17","25.5","25.2","25.0","26.1"
"00:00:18","25.5","25.2","25.0","26.1"
"00:00:19","25.5","25.2","24.9","26.1"
"00:00:20","25.5","25.2","24.9","26.1"
"00:00:21","25.5","25.2","24.9","26.1"
"00:00:22","25.5","25.2","24.9","26.1"
"00:00:23","25.5","25.2","24.9","26.1"
"00:00:24","25.5","25.2","24.9","26.1"
"00:00:25","25.5","25.2","24.9","26.1"
"00:00:26","25.5","25.2","24.9","26.1"
"00:00:27","25.5","25.2","24.9","26.0"
"00:00:28","25.5","25.2","24.8","26.0"
"00:00:29","25.5","25.2","24.8","26.0"
"00:00:30","25.5","25.2","24.8","26.0"
"00:00:31","25.5","25.2","24.8","26.0"
"00:00:32","25.5","25.2","24.8","26.0"
"00:00:33","25.5","25.2","24.8","26.0"
"00:00:34","25.5","25.2","24.8","26.0"
"00:00:35","25.5","25.2","24.8","26.0"
"00:00:36","25.5","25.2","24.8","26.0"
"00:00:37","25.5","25.2","24.8","26.0"
"00:00:38","25.5","25.2","24.8","26.0"
"00:00:39","25.5","25.2","24.8","26.0"
"00:00:40","25.5","25.2","24.8","26.0"
"00:00:41","25.5","25.2","24.8","26.0"
"00:00:42","25.5","25.2","24.8","26.0"
"00:00:43","25.5","25.2","24.8","26.0"
"00:00:44","25.5","25.2","24.8","26.0"
"00:00:45","25.5","25.2","24.8","26.0"
"00:00:46","25.5","25.2","24.8","26.0"
"00:00:47","25.6","25.2","24.8","26.0"
"00:00:48","25.5","25.1","24.7","26.0"
"00:00:49","25.5","25.1","24.7","26.0"
"00:00:50","25.5","25.1","24.7","26.0"
"00:00:51","25.6","25.1","24.7","26.0"
"00:00:52","25.5","25.1","24.7","26.0"
"00:00:53","25.6","25.1","24.7","26.0"
"00:00:54","25.5","25.1","24.7","26.0"
"00:00:55","25.5","25.1","24.7","26.0"
"00:00:56","25.5","25.1","24.7","26.0"
"00:00:57","25.5","25.1","24.7","26.0"
"00:00:58","25.6","25.1","24.7","26.0"
"00:00:59","25.6","25.2","24.7","25.9"
"00:01:00","25.6","25.2","24.7","25.9"
"00:01:01","25.6","25.2","24.7","25.9"
"00:01:02","25.6","25.2","24.7","25.9"
"00:01:03","25.6","25.2","24.7","25.9"
"00:01:04","25.6","25.1","24.7","25.9"
"00:01:05","25.6","25.1","24.7","26.0"
