"","Catheter Cover Max. (C)","Catheter 13" Max. (C)","Catheter 9" Max. (C)","Uterus Max. (C)"
"00:00:00","26.7","28.2","28.3","24.9"
"00:00:01","26.7","28.2","28.3","24.9"
"00:00:02","26.7","28.1","28.2","24.9"
"00:00:03","26.7","28.0","28.1","24.9"
"00:00:04","26.6","28.0","28.0","24.9"
"00:00:05","26.6","27.9","27.9","24.9"
"00:00:06","26.6","27.9","27.9","24.9"
"00:00:07","26.6","27.8","27.9","24.9"
"00:00:08","26.6","27.7","27.8","24.9"
"00:00:09","26.6","27.7","27.7","24.9"
"00:00:10","26.6","27.6","27.6","24.9"
"00:00:11","26.6","27.6","27.5","24.9"
"00:00:12","26.6","27.5","27.5","24.9"
"00:00:13","26.6","27.5","27.4","24.9"
"00:00:14","26.5","27.5","27.4","24.9"
"00:00:15","26.5","27.4","27.3","24.6"
"00:00:16","26.5","27.4","27.2","24.6"
"00:00:17","26.5","27.3","27.2","24.7"
"00:00:18","26.5","27.3","27.1","24.8"
"00:00:19","26.5","27.3","27.1","24.9"
"00:00:20","26.5","27.2","27.1","25.0"
"00:00:21","26.5","27.2","27.1","25.1"
"00:00:22","26.5","27.2","27.0","25.2"
"00:00:23","26.5","27.2","27.0","25.2"
"00:00:24","26.5","27.1","26.9","25.3"
"00:00:25","26.5","27.1","26.9","25.3"
"00:00:26","26.6","27.0","26.8","25.3"
"00:00:27","26.6","27.0","26.8","25.3"
"00:00:28","26.5","26.9","26.7","25.3"
"00:00:29","26.6","26.9","26.6","25.3"
"00:00:30","26.5","26.8","26.5","25.3"
"00:00:31","26.5","26.8","26.4","25.3"
"00:00:32","26.5","26.7","26.3","25.2"
"00:00:33","26.5","26.6","26.3","25.2"
"00:00:34","26.4","26.6","26.2","25.2"
"00:00:35","26.4","26.5","26.2","25.1"
"00:00:36","26.4","26.5","26.1","25.1"
"00:00:37","26.4","26.4","26.1","25.1"
"00:00:38","26.4","26.4","26.1","25.1"
"00:00:39","26.4","26.4","26.1","25.0"
"00:00:40","26.4","26.4","26.0","25.0"
"00:00:41","26.4","26.4","26.0","25.0"
"00:00:42","26.4","26.3","26.0","24.9"
"00:00:43","26.4","26.3","26.0","24.9"
"00:00:44","26.4","26.3","26.0","24.8"
"00:00:45","26.4","26.3","26.0","24.8"
"00:00:46","26.3","26.2","26.0","24.7"
"00:00:47","26.3","26.2","26.0","24.7"
"00:00:48","26.3","26.2","25.9","24.7"
"00:00:49","26.3","26.2","25.9","24.6"
"00:00:50","26.3","26.2","25.9","24.6"
"00:00:51","26.3","26.2","25.9","24.6"
"00:00:52","26.3","26.2","25.9","24.6"
"00:00:53","26.3","26.2","25.9","24.5"
"00:00:54","26.3","26.1","25.9","24.5"
"00:00:55","26.3","26.1","25.9","24.5"
"00:00:56","26.3","26.1","25.9","24.4"
"00:00:57","26.3","26.1","25.9","24.4"
"00:00:58","26.3","26.1","25.9","24.4"
"00:00:59","26.3","26.1","25.9","24.4"
"00:01:00","26.3","26.1","25.9","24.3"
"00:01:01","26.3","26.1","25.9","24.3"
"00:01:02","26.3","26.1","25.9","24.3"
"00:01:03","26.3","26.1","25.9","24.3"
"00:01:04","26.3","26.1","25.9","24.3"
"00:01:05","26.3","26.1","25.8","24.2"
"00:01:06","26.3","26.1","25.8","24.2"
"00:01:07","26.3","26.1","25.8","24.2"
"00:01:08","26.3","26.1","25.8","24.2"
"00:01:09","26.3","26.1","25.8","24.2"
"00:01:10","26.3","26.1","25.8","24.1"
"00:01:11","26.3","26.1","25.8","24.1"
"00:01:12","26.3","26.1","25.8","24.1"
"00:01:13","26.3","26.1","25.8","24.1"
"00:01:14","26.3","26.1","25.8","24.1"
"00:01:15","26.3","26.1","25.8","24.1"
"00:01:16","26.3","26.1","25.8","24.0"
"00:01:17","26.3","26.1","25.8","24.0"
"00:01:18","26.3","26.1","25.8","24.0"
"00:01:19","26.3","26.1","25.8","24.0"
"00:01:20","26.3","26.1","25.8","24.0"
"00:01:21","26.3","26.1","25.8","24.0"
"00:01:22","26.3","26.1","25.8","24.0"
"00:01:23","26.3","26.1","25.8","24.0"
"00:01:24","26.2","26.1","25.8","23.9"
"00:01:25","26.2","26.1","25.8","23.9"
"00:01:26","26.2","26.1","25.8","23.9"
"00:01:27","26.2","26.1","25.8","23.9"
"00:01:28","26.2","26.1","25.8","23.9"
"00:01:29","26.2","26.1","25.8","23.9"
"00:01:30","26.2","26.1","25.7","23.9"
"00:01:31","26.2","26.1","25.8","23.9"
"00:01:32","26.2","26.1","25.8","23.9"
"00:01:33","26.2","26.1","25.7","23.8"
"00:01:34","26.2","26.1","25.7","23.8"
"00:01:35","26.2","26.0","25.7","23.8"
"00:01:36","26.2","26.1","25.7","23.8"
"00:01:37","26.2","26.1","25.7","23.8"
"00:01:38","26.2","26.0","25.7","23.8"
"00:01:39","26.1","26.0","25.7","23.8"
"00:01:40","26.1","26.0","25.7","23.8"
"00:01:41","26.1","26.0","25.7","23.8"
"00:01:42","26.1","26.0","25.7","23.8"
"00:01:43","26.1","26.0","25.7","23.7"
"00:01:44","26.1","26.0","25.7","23.7"
"00:01:45","26.1","26.0","25.7","23.7"
"00:01:46","26.1","26.0","25.7","23.7"
"00:01:47","26.1","26.0","25.7","23.7"
"00:01:48","26.1","26.0","25.7","23.6"
"00:01:49","26.1","26.0","25.8","23.6"
"00:01:50","26.1","26.0","25.7","23.6"
"00:01:51","26.1","26.0","25.8","23.6"
"00:01:52","26.1","26.0","25.7","23.5"
"00:01:53","26.1","26.0","25.7","23.5"
"00:01:54","26.1","26.0","25.8","23.5"
"00:01:55","26.1","26.1","25.7","23.5"
"00:01:56","26.1","26.1","25.7","23.5"
"00:01:57","26.1","26.1","25.7","23.5"
"00:01:58","26.1","26.0","25.7","23.5"
"00:01:59","26.1","26.0","25.7","23.4"
